feature1,feature2,label
2.8,7.2,negative
6.1,2.8,positive
7.9,1.9,positive
1.9,8.7,negative
5.5,7.1,negative
8.2,2.9,positive
3.3,3.8,negative
7.4,3.7,positive
1.8,4.9,negative
4.7,6.1,negative
4.1,2.4,positive
6.3,4.7,negative
2.9,1.1,negative
6.2,7.1,negative
7.6,8.8,negative
3.4,4.2,negative
1.2,1.7,negative
9.4,4.2,positive
4.9,4.4,positive
7.8,6,positive
1.9,2.2,negative
4.2,7.9,negative
6.7,8.2,negative
9.1,1.8,positive
2.1,6.7,negative
5.3,3.6,positive
3.7,6.9,negative
7.1,2.1,positive
5.5,5.5,positive
1.3,3.9,negative
