sentiment,review
-1,I should have stayed with Idahoan brand Poor Betty is on her last legs rolling downhill into oblivionIve used several brands of potato flakes and found them very good But not Bettys brand The finished product tastes stale Bland unpleasant not worth continuing eatingbut the worst part is STALE  I am totally ashamed of Amazon for offrering these packets My advice to any customer looking for good mashed potato flakes Move on to Idahoan or another brand and leave poor Betty by the waysideWhere these packets should have been left Alone Ignored Skipped over By the way I didnt like them
1,As the pasta cooked I read the box to see what makes this smmmile itsveggie pasta  cheese  Cauliflower pasta Id never heard of such a thing What a good idea  The dinner on the whole has two grams fewer of carbohydrates at 47g carbohydrate 7g sugar I was hoping that this would be a good alternative for a diabetic friend but it wont beMy only deviation from the recipe on the box was using 1 milk  I didnt doctor it with extra ingredients or by adding vegetables because I wanted to taste what it tasted like on its ownIt tasted like Kraft Macaroni and Cheese the stuff that my mom occasionally fed us when we were kids  The pasta was soft but not mushy The cheese concoction tastes the same as the standardNot as good as my friend Meems homemade  its not even the same category  but DEFINITELY better than adequate as a comfort food from ones childhoodThe other member of my household agreed on all points including since sneaking vegetables in our household was never an issue that this would taste even yummier with fresh broccoli or cauliflower in itMore Kraft Macaroni and Cheese please
1,I really like this cereal The flavor is slightly nutty and it doesnt get soggy quickly in almond milk It reminds me of Honey Smacks without any sugar My favorite way to eat it is with some chopped raw almonds flax seeds and a touch of agave nectar
-1,The label on the bowl says 35 grams is in the bowl and that it is 110 calories but when I weighed it myself on my food scale it weighed almost twice that Im confused does the whole bowl really contain 110 calories I really want to know can someone help
-1,Doesnt taste like ginger  Thought it would save me having to grate ginger  but is disappointingly flat in flavor  In fact it has a kind off flavor  Wouldnt buy it again
-1,This is the polar opposite of Sleepytime tea I had one cup last night and I laid in bed and didnt fall asleep till well after midnight and then kept waking up every few minutes after that Worst sleep I have gotten in my entire life Im going back to Sleepytime tea At least that stuff works
-1,I tried these with my JVMelita Pod unit and they produced bland unexceptional coffee  Considering they cost the equivalent of about 20 a pound you might expect more but it is just ordinary java
-1,Looking at the ingredients this has zero pumpkin in it That is why its called pumpkin style Its basically just sugar and preservatives Addendum  Its now 2008 and I noticed that the ingredient list that used to be available is no longer availablehmmhiding something
-1,UPDATE INFO AS OF 1292014List Price 2094Price 491 002  ozYou Save 1603 77002 an oz for 16oz in a pound will be only 032 a bag not 491 as claimed by the seller Flax seeds sells never sells for 2094 a bag as claimed by the seller It seems that the seller keeps changing the sale numbers in order to sell a product Arrowhead is an excellent brand with many great organic products where others fail to produce in organic form but this approach is just misleading and not necessary at allORIGINAL REVIEW 10112013Seller claimsList Price 4061Price 824 004oz  FREE Shipping on orders over 25You Save 3237 80That is misleading No flax sells for 40 a pound At 824 a pound it is 82416515 infact something like more than 051 cents an oz not 004 an oz Arrowhead is a good brand but the seller is misrepresenting the factsMISLEADING LABELING sprinkle a tablespoon of ground seeds 14oz not 16 oz since it is golden not brownIt is shame that Arrowhead with so many fine organic products will misguide consumers just to sell a product In the beginning there was only one color flax which was brown but now there is golden as well Usually in organic form except in supplement form the farmer coup flax or any type of seeds are always more expensive due to their practices which is not sold on Amazon at all Brown and golden have the same nutritional value so I never consume one I mix brown and golden regardless In some cases Golden is more expensive than brown If not specified on the labeling the type of flax then it means brown flax not golden flaxOILS I started consuming flax oil years ago per my physicians advise not knowing that majority forms of flaxseeds are rancid and absolutely worthless due to oil in seeds As whole human body cannot digest any seed that size with that consistency regardless if it is flax sesame amaranth chia millet etc unless cooked or in ground form since human body cannot digest in its natural form As SUPPLEMENT TABLET FORM OIL POWDER GROUND IN BAGS are all worthless and hardly offer any nutrients unless seeds are fresh not old which means rancid not in oil form not in supplement form not hulled ground and consumed within few days kept in dark cold temperatures away from lightsunmoisture since the oil in seeds and nuts go rancid regardless Rancid is a process of Mother Nature and has nothing to do with organic conventional GMO or the type of seed Advising consumers to purchase different brands of flax in oil form or powder or tablet form are all marketing tools as well It is not important even if the oil or the tablet or the powder in bags are even frozen at the time of production till you consume since any seed and I mean any type of seed regardless of the type or brand will go rancid once ground and cracked open since the shell the protection is removed and air will get to the oil of the seed much quicker than when the seed is in a complete unhulled form The best example of rancidity is brown rice Place some in freezer and you will notice in few months it will not even cook since the oils have gone rancid even if you keep the rice in a sealed container wrapped in the most elaborate sealing containers in the world regardless Chia is the only seed that claims it does not need to be ground but that is a marketing tool just like the price of chia is since it comes from outside US and individuals without any knowledge about nutrition always associate those as superior for exotic reasons and pay a hefty price for a food item with less nutrients I ground in my coffee grinder sesame flax chia amaranth hemp then add cocoa isolate protein soy milk and consume it before my workouts on daily basis for its vitamins minerals protein and many nutrients without much spike in my glucose Unhulled seeds are full of nutrients I never consume hulled seeds which are empty calories absolutely worthless since the nutrients have been removed After many years of consuming seeds I chose to ground all seeds myself and seal immediately kept in freezer and consumed within few days which I am very happy with the results since after all looking fit and well is just result of training hard and living a healthy lifestyle which surrounds any professional athlete or a happy individual involved in many sport activities regardlessOMEGA 3 You will never see ALA on any fish you purchase Infact you will never see ALA on any fish oil supplement either you will only see EPA and DHA ALA is not the same as EPA or DHA and it is the same for any brand of flax seed regardless if such flax seed oil is in solid oil form in a bottle or a capsule form Greens nuts seeds fruits and vegetables do not offer any omega3 since omega3 EPADHA is an animal source Flaxseeds offer more ALA than chia 228gr vs 178gr There are two major types of omega3 fatty acids in our diets One type is alphalinolenic acid ALA which is found in plants the other type eicosapentaenoic acid EPA and docosahexaenoic acid DHA is found in fatty fish The body partially converts ALA to EPA and DHA There is no proof what percent of ALA gets converted by human body to EPA or DHA You can consume all ALAs that you want and depending to your genes it may never turn any into omega3 Blood test is the only way to see the affects I get omega 3 from sardines although flaxseeds are important part of my diet since flax offers so many different nutrientsFIBER Fiber is essential for body since fiber absorbs the unwanted liquid in the gut and body has to defecate that blown up fiber which in return lowers cholesterol blood pressure etc and brings comfort and efficiency to human body unlike fat which stays in human body unless needed for energy Flax is high in fiberMINERALS Flax is the king of nutrients when it comes to minerals so important to me as a whole delicious seed highest ALA highest magnesium highest potassium calcium with the healthiest fatAccordingly for 100gr servings size ofSESAMEFLAXCHIAAMARANTHQUINOAHEMPPISTACHIOALMONDCASHEWCALORIES565534490371368567557575553SAT FAT3418167417271939CALCIUM992663165011264MAGNESIUM899806249167306773POTASSIUM142351516167292019ZINC482923192183152139FIBER471091518114 414913PHYTOSTEROLS7140000NA21400FRESHNESS Fresh means nutritious and delicious I consume lots of seeds beans grains vegetables etc and freshness is a priority regardless of the brand so I always purchase my food ingredients in small quantities from reputable sellers with high turnover When fresh food is nutritious and that goes for any food in any form from frozen to canned Fresh food is nutritious as well as delicious since nutrients give food its delicious taste When old or rancid nutrients are gone and any food item becomes an empty calories with no taste and absolutely worthless regardless of the brand or price organic or conventionalFAT The most important hormone and the one thats crucial for weight loss is insulin Insulin is the hormone that controls fat storage A highcarb diet increases the amount of glucose in the bloodstream which in turn means you produce more insulin The more insulin the body produces the more fat gets stored A lowcarb diet means less insulin making it easier to lose weight because less fat is then stored For intake of a massive 5000 calories every day for three weeks with calories from a lowfat highcarb diet and for another three weeks with calories from more fat no carbs with exactly the same amount of calories with moderate exercise regimen each time lowfat diet stacked on 168201lb with 37 958201cm around the middle where the high fat diet offered a loss of 25 lb and loss of 1258201cm from waistline If calorie is calorie then in my case and my experience shows that I would prefer to get my calories from a healthy fat from sesame seed and almond than the calories from the carbs in chia Almonds have the highest fat calories from all the seeds and nuts a priority to me in type of calories since I am kind of vegan who consumes fish but hardly any meat chicken pork or dairyAccordingly for 28gr1oz servings size ofAmaranthquinoaflaxpeanutalmondschiasesamesunflowercashewpistachioTOTAL CALORIES286336 150166161137160162155156CALORIES FROM CARBS2122363328924650268312344318CALORIES FROM FAT3748988121116721116112103104CALORIES FROM PROTEIN374917816820615217219117720For almost the same total calories sesame offers half of chias CARB CALORIES gain but 50 more FAT CALORIES with high amount of nutrients for weight loss Sesame flax and hemp are my superfood but almonds are the superfood when it comes to vitamin E Americans consume enough peanut butter each year to coat the floor of the Grand Canyon priced for 13 but hardly with any nutrients except Bcomplex No wonder Burma is the highest producer of sesame in the world But none of those kings offer ALA and not only flaxs high ALA is needed but it balances the omega6 which is so worthless and abandoned in all foods that not healthy at all Flax only in powder form ground freshly
1,This cereal taste is good has all the rightingredients can be a snackThey finally have a winner for morninggood job
